12,Entertainment: Books,medium,"Unter welchem Spitznamen ist Jack Dawkins in Charles Dickens' Roman ""Oliver Twist"" bekannt?",Der raffinierte Dodger,Fagin,Volltreffer,Herr Fang,2022-09-03 11:43:34.0,2022-09-03 11:43:34.0
13,Entertainment: Video Games,medium,Die Stadt Rockport ist in welchem der folgenden Videospiele zu sehen?,Need for Speed: Most Wanted (2005),Infamous 2,Saints Row: The Third,Burnout Revenge,2022-09-03 11:43:35.0,2022-09-03 11:43:35.0
14,History,medium,Welcher Nationalität gehörte der Erfinder der Enigma-Chiffre und -Maschine an?,Deutsch,Amerikanisch,Britisch,Polnisch,2022-09-03 11:43:35.0,2022-09-03 11:43:35.0
15,Entertainment: Video Games,easy,Welches dieser Teams ist NICHT im Spiel Pokémon Go verfügbar?,Team Rakete,Team Instinct,Team Tapferkeit,Team Mystic,2022-09-03 11:43:36.0,2022-09-03 11:43:36.0
16,Science & Nature,hard,Wie lautet der wissenschaftliche Name der Kniescheibe?,Patella,Oberschenkelknochen,Foramen Magnum,Schulterblatt,2022-09-03 11:43:36.0,2022-09-03 11:43:36.0
17,Entertainment: Cartoon & Animations,medium,"In welchem Jahr wurde der Disney-Film ""A Goofy Movie"" veröffentlicht?",1995,1999,2001,1997,2022-09-03 11:43:36.0,2022-09-03 11:43:36.0
18,Entertainment: Video Games,medium,Was war das erste interaktive Film-Videospiel?,Astron-Gürtel,Die Drachenhöhle,Würfel-Quest,M.A.C.H. 3,2022-09-03 11:43:37.0,2022-09-03 11:43:37.0
19,Science: Computers,medium,"Während Apple in Kalifornien gegründet wurde, wurde Microsoft in welchem westlichen Bundesstaat gegründet?",New Mexico,Washington,Colorado,Arizona,2022-09-03 11:43:37.0,2022-09-03 11:43:37.0
20,Entertainment: Video Games,easy,Wie lautet der Titel des Liedes im Hauptmenü von Halo?,Halo,Eröffnungssuite,Schatten,Suite Herbst,2022-09-03 11:43:38.0,2022-09-03 11:43:38.0
21,Entertainment: Video Games,medium,Einer der frühen Prototypen des Sega Dreamcast-Controllers ähnelte welchem der folgenden Gegenstände?,Fernbedienung für den Fernseher,Tablet,Haartrockner,Klapphandy,2022-09-03 11:43:38.0,2022-09-03 11:43:38.0
22,Politics,hard,"Welchen Buchstaben musst du auf deinem europäischen Führerschein haben, um Motorrad fahren zu dürfen?",A,X,D,B,2022-09-03 11:43:39.0,2022-09-03 11:43:39.0
23,Entertainment: Video Games,easy,"Wer wird in PROTOTYPE 2. als ""Tango Primary"" bezeichnet?",James Heller,Alex Mercer,Dana Mercer,"Irgendwelche Goliaths, die herumstreunen",2022-09-03 11:43:39.0,2022-09-03 11:43:39.0
24,Science: Gadgets,hard,Welche der folgenden Frequenzen ist die Standard-Übernahmefrequenz für THX-Subwoofer?,80 Hz,70 Hz,90 Hz,100 Hz,2022-09-03 11:43:39.0,2022-09-03 11:43:39.0
25,History,medium,Welches Panzer-Ass des Zweiten Weltkriegs hat die meisten Panzer zerstört?,Kurt Knispel,Michael Wittmann,Walter Kniep,Otto Carius,2022-09-03 11:43:40.0,2022-09-03 11:43:40.0
26,Entertainment: Video Games,medium,Zu welchem Horrorfilm wurde am 20. August 2002 eine Fortsetzung in Form eines Videospiels veröffentlicht?,Das Ding,Die Bösen Toten,Säge,Alien,2022-09-03 11:43:40.0,2022-09-03 11:43:40.0
27,Entertainment: Television,easy,Wie heißt der Bruder von Sam in Supernatural?,Dekan,Dave,Steve,Mike,2022-09-03 11:43:41.0,2022-09-03 11:43:41.0
28,Entertainment: Music,medium,"""Lift Your Spirit"" ist ein Album von welchem Künstler?",Aloe Blacc,Lena Meyer-Landrut,Stevie Wonder,Taylor Swift,2022-09-03 11:43:41.0,2022-09-03 11:43:41.0
29,Entertainment: Video Games,hard,"Wie hieß das von Masahiro Sakurai und Satoru Iwata entwickelte Spiel, aus dem später ""Super Smash Bros."" wurde?",Drachenkönig: Das Kampfspiel,Nintendo Legends: Kämpfe!,Kampfsport: King of the Hill,Aerial Warriors: Supreme Battle,2022-09-03 11:43:42.0,2022-09-03 11:43:42.0
30,Science & Nature,hard,Was ist in Celsius und Fahrenheit gleich?,-40,32,-39,-42,2022-09-03 11:43:42.0,2022-09-03 11:43:42.0
31,Entertainment: Comics,hard,"In welchem Jahr kam der erste ""The Walking Dead""-Comic heraus?",2003,2001,2006,1999,2022-09-03 11:43:42.0,2022-09-03 11:43:42.0
32,Geography,easy,Was ist die Hauptstadt von Indien?,Neu Delhi,Peking,Montreal,Tithi,2022-09-03 11:43:43.0,2022-09-03 11:43:43.0
33,Science: Mathematics,easy,Wie viele Seiten hat ein Heptagon?,7,8,6,5,2022-09-03 11:43:43.0,2022-09-03 11:43:43.0
34,Entertainment: Television,hard,"Welche Soße wird in ""Star Trek"" von den Klingonen häufig auf der Bregit-Lunge verwendet?",Grapok Sauce,Gazorpazorp Pudding,Süße Chilisauce,Traubensauce,2022-09-03 11:43:43.0,2022-09-03 11:43:43.0
35,Animals,hard,"Welche Art ist ein ""Berghuhn""?",Frosch,Huhn,Pferd,Fliege,2022-09-03 11:43:44.0,2022-09-03 11:43:44.0
36,Entertainment: Video Games,medium,"In welcher der folgenden Farben leuchten die Augen der Zombies auf der Karte ""Nuketown"" im ""Call of Duty: Black Ops II"" Zombies-Modus?",Gelb und Blau,Gelb und Rot,Rot und Blau,Blau und Weiß,2022-09-03 11:43:44.0,2022-09-03 11:43:44.0
37,Entertainment: Video Games,medium,"In ""Call of Duty: Zombies"" erhältst du für das wichtigste Osterei der Karte die Errungenschaft ""Little Lost Girl""?",Ursprünge,Offenbarungen,Mond,Tranzit,2022-09-03 11:43:45.0,2022-09-03 11:43:45.0
38,Entertainment: Books,medium,"Welches ist die Marke und das Modell der Tourfahrzeuge in ""Jurassic Park"" (1990)?",1989 Toyota Land Cruiser,1989 Jeep Wrangler YJ Sahar,1989 Ford Explorer XLT,Mercedes M-Klasse,2022-09-03 11:43:45.0,2022-09-03 11:43:45.0
39,Entertainment: Television,medium,"Welcher der folgenden war kein Schauspieler/keine Schauspielerin in der amerikanischen Fernsehshow ""Saturday Night Live"" in Staffel 42?",Tina Fey,Mikey Day,Kate McKinnon,Sasheer Zamata,2022-09-03 11:43:46.0,2022-09-03 11:43:46.0
40,Entertainment: Video Games,easy,In welchem Jahr wurde League of Legends veröffentlicht?,2009,2010,2003,2001,2022-09-03 11:43:46.0,2022-09-03 11:43:46.0
41,Entertainment: Board Games,hard,"Welche Fähigkeit aus der ""Magic: The Gathering""-Erweiterung Scars of Mirrodin erfordert, dass man mindestens drei Artefakte im Spiel hat?",Metalcraft,Affinität,Impressum,Lebendige Waffe,2022-09-03 11:43:46.0,2022-09-03 11:43:46.0
42,Entertainment: Video Games,hard,"Zu welcher Spieleserie gehören ""Die teuflische Kiste"" und ""Das kuriose Dorf""?",Professor Layton,Persona,Etrian Odyssey,Sam & Max,2022-09-03 11:43:47.0,2022-09-03 11:43:47.0
43,Entertainment: Japanese Anime & Manga,hard,"Welches Animationsstudio hat die Anime-Adaption von ""xxxHolic"" produziert?",Produktion I.G,Sonnenaufgang,Xebec,Kyoto Animation,2022-09-03 11:43:47.0,2022-09-03 11:43:47.0
44,Entertainment: Television,medium,Welche Boxpersönlichkeit war einer der Moderatoren in der Neuauflage von It's a Knockout von 1999?,Frank Bruno,Henry Cooper,Muhammad Ali,Joe Fraiser,2022-09-03 11:43:48.0,2022-09-03 11:43:48.0
45,Entertainment: Television,medium,Baron Silas Greenback ist der Erzfeind von welchem Cartoon-Helden?,Gefährliche Maus,Bananaman,SuperTed,Kapitän Stern,2022-09-03 11:43:48.0,2022-09-03 11:43:48.0
46,Science & Nature,hard,"Was ist ein ""Stenom""?",Eine Gattung von Nachtfaltern,Ein Kampfstimulans aus dem Zweiten Weltkrieg,Eine Art von Gewürz,Eine Hafenstadt in der Karibik,2022-09-03 11:43:49.0,2022-09-03 11:43:49.0
47,Entertainment: Music,medium,Aus welchem Land stammte Shirley Bassey?,Wales,Amerika,England,Kanada,2022-09-03 11:43:49.0,2022-09-03 11:43:49.0
48,Science & Nature,medium,"Welche Farbe kann bei Rosen nicht erzeugt werden, auch nicht durch genetische Veränderung?",Blau,Schwarz,Orange,Braun,2022-09-03 11:43:50.0,2022-09-03 11:43:50.0
49,Entertainment: Comics,hard,"Wie heißen die beiden ""Canon-Fan-Trolle"" in ""Homestuck""?",Mierfa Durgas und Nektan Whelan,Die Schiefkrone und Voksea Olkido,Aikter Frekik und Xagrai Ollomu,Grekei Ceknux und Riya Camacho,2022-09-03 11:43:50.0,2022-09-03 11:43:50.0
50,Sports,medium,Welches Basketballteam hat die meisten NBA Grand Finals besucht?,Los Angeles Lakers,Boston Celtics,Philadelphia 76ers,Golden State Warriors,2022-09-03 11:43:51.0,2022-09-03 11:43:51.0
51,Science: Computers,easy,Welche Sprache wird in Node.js verwendet?,JavaScript,Java,Java Quelle,Joomla Quellcode,2022-09-03 11:43:51.0,2022-09-03 11:43:51.0
52,History,easy,Wer war der erste Amerikaner im Weltraum?,Alan Shephard,Neil Armstrong,John Glenn,Jim Lovell,2022-09-03 11:43:51.0,2022-09-03 11:43:51.0
53,Science & Nature,easy,Welcher der folgenden Knochen befindet sich nicht im Bein?,Radius,Patella,Schienbein,Wadenbein,2022-09-03 11:43:52.0,2022-09-03 11:43:52.0
54,Politics,easy,"Wessen Wahlkampfslogan 2016 war ""Make America Great Again""?",Donald Trump,Ted Cruz,Marco Rubio,Bernie Sanders,2022-09-03 11:43:52.0,2022-09-03 11:43:52.0
55,Sports,medium,Wie lautet der Spitzname des Rugby Union Clubs der Stadt Northampton?,Heilige,Harlekine,Saracens,Wespen,2022-09-03 11:43:53.0,2022-09-03 11:43:53.0
56,Science: Mathematics,medium,Wie viele Nullen sind in einem Googol?,100,10,"1,000","1,000,000",2022-09-03 11:43:53.0,2022-09-03 11:43:53.0
57,History,hard,"Wie hieß der Spionagering, der den Vereinigten Staaten half, den Revolutionskrieg zu gewinnen?",Culper Ring,New Yorker Spionagering,Washingtons Spione,Unbenannt,2022-09-03 11:43:53.0,2022-09-03 11:43:53.0
58,Entertainment: Music,easy,Aus welchem Land kommt die Band Rammstein?,Deutschland,Österreich,Armenien,Belgien,2022-09-03 11:43:54.0,2022-09-03 11:43:54.0
59,General Knowledge,hard,"Die Wörter ""Bungalow"" und ""Shampoo"" stammen aus den Sprachen welches Landes?",Indien,Papua-Neuguinea,Äthiopien,China,2022-09-03 11:43:54.0,2022-09-03 11:43:54.0
60,Vehicles,hard,Der Unterschied zwischen den Längen einer Boeing 777-300ER und eines Airbus A350-1000 ist am geringsten:,0.1m,1m,10m,100m,2022-09-03 11:43:55.0,2022-09-03 11:43:55.0
61,Geography,medium,Welches der folgenden Länder erkennt Armenien NICHT als unabhängigen Staat an?,Pakistan,Iran,Türkei,Aserbaidschan,2022-09-03 11:43:55.0,2022-09-03 11:43:55.0
62,Entertainment: Video Games,hard,Wie viele Exemplare des berühmt-berüchtigten E.T.-Spiels für den Atari 2600 hat Atari am Ende verkauft?,"1,5 Millionen",1 Million,250 Tausend,Weniger als 250 Tausend,2022-09-03 11:43:56.0,2022-09-03 11:43:56.0
63,Geography,medium,Welches dieser Länder ist am weitesten vom Südchinesischen Meer entfernt?,Bangladesch,Malaysia,Vietnam,Philippinen,2022-09-03 11:43:56.0,2022-09-03 11:43:56.0
64,History,medium,"Wie alt war Lyndon B. Johnson, als er das Amt des Präsidenten der Vereinigten Staaten übernahm?",55,50,60,54,2022-09-03 11:43:56.0,2022-09-03 11:43:56.0
65,Entertainment: Video Games,medium,"Welches Unternehmen besitzt die Rechte an der ""Rayman""-Serie?",Ubisoft,Nintendo,EA,Sony,2022-09-03 11:43:56.0,2022-09-03 11:43:56.0
66,Entertainment: Music,easy,Welcher Twitch-Streamer ist der Sänger von Red Vox?,Vinesauce,The8BitDrummer,LIRIK,Sodapoppin,2022-09-03 11:43:57.0,2022-09-03 11:43:57.0
67,Geography,medium,Gibraltar liegt im Süden der iberischen Halbinsel und gehört zu welchem westeuropäischen Land?,Vereinigtes Königreich,Spanien,Portugal,Frankreich,2022-09-03 11:43:57.0,2022-09-03 11:43:57.0
68,Entertainment: Video Games,medium,"Wie heißt der spezielle Infizierte in Left 4 Dead, der im Versus-Modus unspielbar ist?",Die Hexe,Der Panzer,Der Raucher,Der Spitter,2022-09-03 11:43:57.0,2022-09-03 11:43:57.0
69,Entertainment: Music,hard,"Wie lautet der englische Titel des Vaporwave-Tracks ""リサフランク420 / 現代のコンピュー"" von Macintosh Plus (Vektroid)?",Lisa Frank 420 / Modern Computing,Gras rauchen 420 / Täglich,Mach deinen Zug 420 / My Mind,Es ist alles in deinem Kopf 420 / Verstehen,2022-09-03 11:43:58.0,2022-09-03 11:43:58.0
70,Science: Computers,medium,In der Server-Hosting-Branche steht IaaS für...,Infrastruktur als Dienstleistung,Internet as a Service,Internet und ein Server,Infrastruktur als Server,2022-09-03 11:43:58.0,2022-09-03 11:43:58.0
71,Entertainment: Film,medium,"Wie heißt der Hauptdarsteller in dem britischen Film ""Quadrophenia"" von 1979?",Jimmy Cooper,Pete Townshend,Franc Roddam,Archie Bunker,2022-09-03 11:43:58.0,2022-09-03 11:43:58.0
72,Entertainment: Cartoon & Animations,medium,"Die Stop-Motion-Comedy-Show ""Robot Chicken"" wurde von welchem der folgenden Personen geschaffen?",Seth Green,Seth MacFarlane,Seth Rogen,Seth Rollins,2022-09-03 11:43:58.0,2022-09-03 11:43:58.0
73,Vehicles,hard,Welche Technologie zur variablen Ventilsteuerung wird von BMW verwendet?,VANOS,VVT-iw,VVEL,MultiAir,2022-09-03 11:43:59.0,2022-09-03 11:43:59.0
74,Entertainment: Television,easy,Welcher Kontinent liegt in Game of Thrones auf der anderen Seite der Narrow Sea von Westeros?,Essos,Easteros,Westereast,Esuntos,2022-09-03 11:43:59.0,2022-09-03 11:43:59.0
75,Entertainment: Music,easy,Welchen Prominenten hat Kanye West bei den VMAs 2009 unterbrochen?,Taylor Swift,MF DOOM,Beyonce,Beck,2022-09-03 11:43:59.0,2022-09-03 11:43:59.0
76,Entertainment: Television,hard,"Aus welchem Land kommt der YouTuber ""SinowBeats""?",Schottland,England,Schweden,Deutschland,2022-09-03 11:43:59.0,2022-09-03 11:43:59.0
77,Entertainment: Video Games,easy,Wer sind die ursprünglichen Schöpfer von Rachet & Clank?,Insomniac Spiele,PixelTail Spiele,Selten,Bethesda,2022-09-03 11:43:59.0,2022-09-03 11:43:59.0
78,Entertainment: Music,medium,"Welcher Musiker machte 2010 den Song ""Fuckin` Perfect""?",P!nk,Mitis,Adam lambert,Koven,2022-09-03 11:44:00.0,2022-09-03 11:44:00.0
79,Entertainment: Video Games,medium,Im ersten Left 4 Dead kannst du als einer dieser vier Charaktere spielen.,"Francis, Bill, Zoey und Louis","Bender, Andrew, Allison und Brian","Trainer, Ellis, Nick und Rochelle","Harry, Ron, Hermine und Dumbledore",2022-09-03 11:44:00.0,2022-09-03 11:44:00.0
80,Entertainment: Film,medium,"Welche Stadt hat das Monster in dem Film ""Cloverfield"" angegriffen?","New York, New York","Las Vegas, Nevada","Chicago, Illinois","Orlando, Florida",2022-09-03 11:44:00.0,2022-09-03 11:44:00.0
81,Entertainment: Video Games,easy,"""The Potato Sack"" war eine Sammlung von Indie-Spielen, die 2011 auf Steam als Promotion für welches Spiel veröffentlicht wurde?",Portal 2,Left 4 Dead 2,Half-Life 3,Dota 2,2022-09-03 11:44:00.0,2022-09-03 11:44:00.0
82,Entertainment: Television,easy,"In ""Breaking Bad"" ist Walter White ein Highschool-Lehrer, bei dem welche Form von Krebs diagnostiziert wurde?",Lungenkrebs,Prostatakrebs,Hirnkrebs,Hodenkrebs,2022-09-03 11:44:00.0,2022-09-03 11:44:00.0
83,Entertainment: Music,medium,"Welches Mitglied der Beatles hat Episoden von ""Thomas the Tank Engine"" erzählt?",Ringo Starr,George Harrison,John Lennon,Paul McCartney,2022-09-03 11:44:01.0,2022-09-03 11:44:01.0
84,Entertainment: Video Games,hard,"Wie viele Asse können im gesamten Spiel ""Ace Combat Zero: The Belkan War"" abgeschossen werden?",169,100,132,245,2022-09-03 11:44:01.0,2022-09-03 11:44:01.0
85,Entertainment: Music,easy,"Welcher ehemalige Boyband-Star veröffentlichte 1997 die Hit-Single ""Angels""?",Robbie Williams,Justin Timberlake,Harry Styles,Gary Barlow,2022-09-03 11:44:01.0,2022-09-03 11:44:01.0
86,Entertainment: Music,medium,"Welche dieser Bands hat auf dem 2017 erschienenen Album ""DAMN."" des Rappers Kendrick Lamar aus Compton mitgewirkt?",U2,Radiohead,Coldplay,Bon Jovi,2022-09-03 11:44:01.0,2022-09-03 11:44:01.0
87,Science & Nature,medium,Woraus sind menschliche Nägel gemacht?,Keratin,Knochen,Chitin,Calcium,2022-09-03 11:44:02.0,2022-09-03 11:44:02.0
88,Entertainment: Film,medium,"Welches ist die Marke und das Modell der Tourfahrzeuge in ""Jurassic Park"" (1993)?",1992 Ford Explorer XLT,1992 Toyota Land Cruiser,1992 Jeep Wrangler YJ Sahar,Mercedes M-Klasse,2022-09-03 11:44:02.0,2022-09-03 11:44:02.0
89,Mythology,easy,"Aus welcher Mythologie stammt der Gott ""Apollo""?",Griechisch und römisch,Römisch und Spanisch,Griechisch und Chinesisch,"Griechisch, römisch und nordisch",2022-09-03 11:44:02.0,2022-09-03 11:44:02.0
90,Entertainment: Japanese Anime & Manga,easy,"Welches Animationsstudio hat ""Gurren Lagann"" produziert?",Gainax,Kyoto Animation,Pierrot,A-1 Bilder,2022-09-03 11:44:02.0,2022-09-03 11:44:02.0
91,Science & Nature,medium,"Was studierst du, wenn du Entomologie studierst?",Insekten,Menschen,Das Gehirn,Fisch,2022-09-03 11:44:02.0,2022-09-03 11:44:02.0
92,Entertainment: Board Games,hard,"Welche Karte war in Magic: The Gathering eine Hommage an Jamie Wakefields verstorbene Frau Marilyn, die Pferde liebte?",Timbermare,Loyaler Pegasus,Vryn Wingmare,Sonnenwiese Pegasus,2022-09-03 11:44:03.0,2022-09-03 11:44:03.0
93,Entertainment: Film,easy,Aus welcher fiktiven Stadt kommt der Big Hero 6 in Big Hero 6?,San Fransokyo,San Tokio,Tokysisco,Sankyo,2022-09-03 11:44:03.0,2022-09-03 11:44:03.0
94,Entertainment: Board Games,easy,Wann wurde das Brettspiel Twister der Öffentlichkeit zugänglich gemacht?,April 1966,September 1965,Januar 1969,Februar 1966,2022-09-03 11:44:03.0,2022-09-03 11:44:03.0
95,Geography,medium,Welcher ist der längste Fluss der Welt?,Nil,Missouri,Amazon,Jangtse,2022-09-03 11:44:03.0,2022-09-03 11:44:03.0
96,Entertainment: Cartoon & Animations,medium,Nickelodeon gehört zu welchem Mutterkonzern?,Viacom,CBS,FOX,ABC,2022-09-03 11:44:03.0,2022-09-03 11:44:03.0
97,Entertainment: Video Games,easy,In welchem dieser Casinos kannst du in Fallout: New Vegas nicht spielen?,Glücklich 38,Die Tops,Gammorah,Ultra-Luxe,2022-09-03 11:44:04.0,2022-09-03 11:44:04.0
98,Entertainment: Books,medium,"Wer ist der Autor der Reihe ""Malazan Book of the Fallen""?",Steven Erikson,Ian Cameron Esslemont,George R. R. Martin,J. R. R. Tolkien,2022-09-03 11:44:04.0,2022-09-03 11:44:04.0
99,Mythology,medium,"Mit welchem Tier schlief die Königin Pasipahe in der griechischen Mythologie, bevor sie den Minotaurus zur Welt brachte?",Stier,Schwein,Ox,Pferd,2022-09-03 11:44:04.0,2022-09-03 11:44:04.0
100,Entertainment: Film,medium,"Nach welcher Droge wird Jared Letos Figur in dem Film ""Requiem for a Dream"" süchtig?",Heroin,Kokain,Marihuana,Oxycodon,2022-09-03 11:44:04.0,2022-09-03 11:44:04.0
101,Entertainment: Japanese Anime & Manga,medium,Welche JoJo's Bizarre Adventure-Figur besitzt den Stand namens Silver Chariot?,Jean Pierre Polnareff,Noriaki Kakyoin,Hol Pferd,Hermes Costello,2022-09-03 11:44:05.0,2022-09-03 11:44:05.0
102,Mythology,hard,Was war die Strafe für Sysiphos' List?,"Er ist dazu verdammt, einen Felsbrocken bis in alle Ewigkeit einen Hügel hinaufzurollen.",Für die Ewigkeit an einen Felsen gefesselt und von Vögeln gepickt werden.,"Er stand in einem See, der mit Wasser gefüllt war, das er nicht trinken konnte.","Einen Baum zu fällen, der sich nach jedem Axtschwung regeneriert.",2022-09-03 11:44:05.0,2022-09-03 11:44:05.0
103,Vehicles,hard,"Wie hieß das erste Auto mit Frontantrieb, das von Datsun (heute Nissan) hergestellt wurde?",Kirsche,Sonnig,Blauer Vogel,Skyline,2022-09-03 11:44:06.0,2022-09-03 11:44:06.0
104,Entertainment: Comics,easy,Welche Stadt haben die Helden in Black Hammer vor dem Anti-Gott gerettet?,Spiralförmige Stadt,Mega-City One,Rockwood,Star City,2022-09-03 11:44:06.0,2022-09-03 11:44:06.0
105,Sports,medium,"Welches dieser Teams gehört nicht zur Ära der ""Original Six"" in der NHL?",Philadelphia Flyers,New York Rangers,Toronto Maple Leafs,Boston Bruins,2022-09-03 11:44:06.0,2022-09-03 11:44:06.0
106,Entertainment: Books,medium,Wie viele Bücher gibt es in der Chroniken von Narnia-Reihe?,7,6,8,5,2022-09-03 11:44:06.0,2022-09-03 11:44:06.0
107,History,easy,Wie viele bemannte Mondlandungen hat es gegeben?,6,1,3,7,2022-09-03 11:44:06.0,2022-09-03 11:44:06.0
108,Entertainment: Video Games,medium,Wie lautet der ursprüngliche Name von Final Fantasy XV?,Final Fantasy Versus XIII,Final Fantasy: Reborn,Final Fantasy XVI,Final Fantasy XIII-3,2022-09-03 11:44:06.0,2022-09-03 11:44:06.0
109,Celebrities,easy,Welche Schauspielerin heiratete Michael Douglas im Jahr 2000?,Catherine Zeta-Jones,Ruth Jones,Pam Ferris,Sara Sugarman,2022-09-03 11:44:06.0,2022-09-03 11:44:06.0
110,Entertainment: Video Games,medium,Welche schneebedeckten Mobs wurden in Minecraft 1.10 hinzugefügt?,Eisbären,Eskimos,Pinguine,Gehendes TNT,2022-09-03 11:44:07.0,2022-09-03 11:44:07.0
111,Entertainment: Music,medium,"Welche dieser Sprachen kam NICHT in dem 2016 veröffentlichten Song ""Don't Mind"" von Kent Jones vor?",Portugiesisch,Japanisch,Französisch,Spanisch,2022-09-03 11:44:07.0,2022-09-03 11:44:07.0
112,History,easy,"Welcher berühmte Staatschef ist für den Spruch ""Lass sie Kuchen essen"" bekannt, obwohl es Gerüchte gibt, dass er/sie ihn gar nicht gesagt hat?",Marie Antoinette,Zar Nikolaus II.,Elisabeth I.,Heinrich VIII.,2022-09-03 11:44:07.0,2022-09-03 11:44:07.0
113,Entertainment: Video Games,easy,Wie lautete der frühere Nachname von Michael De Santa in Grand Theft Auto V?,Townley,De Santos,Watson,Simpson,2022-09-03 11:44:07.0,2022-09-03 11:44:07.0
114,History,hard,Was gaben die ersten Verkaufsautomaten in den frühen 1880er Jahren aus?,Postkarten,Alkohol,Zigaretten,Limonaden,2022-09-03 11:44:07.0,2022-09-03 11:44:07.0
115,History,medium,"Im Pazifikkrieg (1879 - 1883) verlor Bolivien seinen Zugang zum Pazifischen Ozean, nachdem es von welchem südamerikanischen Land besiegt wurde?",Chile,Peru,Brasilien,Argentinien,2022-09-03 11:44:07.0,2022-09-03 11:44:07.0
116,Entertainment: Video Games,easy,"Wie heißen die beiden australischen Kriminellen aus der Junkers-Fraktion im Spiel ""Overwatch""?",Junkrat und Roadhog,Roadratte und Junkhog,Ana und Pharah,McCree und Deadeye,2022-09-03 11:44:08.0,2022-09-03 11:44:08.0
117,Sports,medium,Josh Mansour gehört zu welchem NRL-Team?,Penrith Panthers,Melbourne Sturm,Sydney Roosters,North Queensland Cowboys,2022-09-03 11:44:08.0,2022-09-03 11:44:08.0
118,Entertainment: Music,medium,Welches dieser Pink Floyd-Alben war auch ein Film?,Die Mauer,Die dunkle Seite des Mondes,"Ich wünschte, du wärst hier",Tiere,2022-09-03 11:44:08.0,2022-09-03 11:44:08.0
119,Entertainment: Music,medium,"Der 16. Mai eines jeden Jahres ist als __________ Day bekannt, benannt nach einer in den 1990er Jahren bekannten Punkband.",Lagwagon,Goldfinger,Weniger als Jake,Lit,2022-09-03 11:44:08.0,2022-09-03 11:44:08.0
120,Entertainment: Music,easy,"Wer hat in Mean Girls Brüste, die anzeigen, wenn es regnet?",Karen Smith,Gretchen Weiners,Janice Ian,Cady Reiher,2022-09-03 11:44:08.0,2022-09-03 11:44:08.0
121,Entertainment: Musicals & Theatres,medium,"In Jeff Waynes Musical-Version von Krieg der Welten sind die Chancen, dass etwas vom Mars kommt,...",Eine Million zu eins,Eine Milliarde zu eins,Eine Billion zu eins,Hundert zu eins,2022-09-03 11:44:08.0,2022-09-03 11:44:08.0
122,Entertainment: Video Games,medium,"Welcher Figur begegnest du in dem 2015 erschienenen Rollenspiel ""Undertale"" als erstes, nachdem du in den Untergrund gefallen bist?",Flowey,Toriel,Sans,Papyrus,2022-09-03 11:44:08.0,2022-09-03 11:44:08.0
123,General Knowledge,hard,In welcher der folgenden Sprachen ist das Geschlecht NICHT Teil der Grammatik?,Türkisch,Deutsch,Dänisch,Polnisch,2022-09-03 11:44:09.0,2022-09-03 11:44:09.0
124,Entertainment: Music,hard,"In Kendrick Lamars Album ""Good Kid, M.A.A.D City"" von 2012 spielt die Geschichte des Albums in welcher Stadt?",Compton,Detroit,New York,Baltimore,2022-09-03 11:44:09.0,2022-09-03 11:44:09.0
125,Science: Computers,medium,"Wofür steht ""LCD""?",Flüssigkristallanzeige,Sprachsteuerung Design,Letzte gemeinsame Abweichung,"Langes, kontinuierliches Design",2022-09-03 11:44:09.0,2022-09-03 11:44:09.0
